,id,cmt,giá,dịch_vụ,ship,hiệu_năng,chính_hãng,cấu_hình,phụ_kiện,other,mẫu_mã
0,33465,"ổn tầm giá . màn_hình , loa trung_bình , không . chụp hình chân_dung siêu ảo , không ưng lắm . giá rẻ không đòi_hỏi",1,0,0,0,0,-1,-1,0,0
1,33464,"hàng , máy ổn giá , tiki giúp kích_hoạt như giúp m kì hài_lòng",1,0,0,0,0,0,0,0,0
2,33463,oke máy chuẩn kì hài_lòng,0,0,0,0,0,0,0,1,0
4,33461,"hài_lòng sản_phẩm , màn_hình đẹp , mượt , pin kì hài_lòng",0,0,0,1,0,-1,0,0,0
5,33460,"mua máy 5 / 2 , 8 / 2 hàng , khoản giao hàng nhanh_chóng . kindle ổn , tra từ_điển không mua sách amazon . cổng sạc đầu cắm samsung tiện sạc kindle . bao da đẹp cộng lớn . , pin chế_độ máy_bay . chế_độ kết_nối không cần_thiết lắm , đa_phần tải sách máy kindle . hài_lòng nè .",0,0,1,0,0,0,1,0,0
8,33457,sạc không như quảng_cáo mất 2h30 sạc xong . hy_vọng sửa nội_dung sạc thành sạc . hàng,0,0,0,0,0,-1,0,1,0
9,33456,giao sản_phẩm đẹp nguyên tem kì hài_lòng,0,0,1,0,0,0,0,0,1
10,33455,"nguyên niêm_phong giao hàng , t3 t7",0,0,-1,0,1,0,0,0,1
12,33453,loa rè . màn_hình không . wifi kém,0,0,0,0,0,0,-1,0,0
13,33452,hàng được_lòng,0,0,0,0,0,0,0,1,0
14,33451,hàng hôm_qua . ok . màn_hình hơi mờ_nhạt . tầm giá được_lòng,1,0,0,0,0,-1,0,0,0
15,33450,"hàng đẹp , giao đúng như quảng_cáo kì hài_lòng",0,0,0,0,0,0,0,0,1
16,33449,"đóng_gói sơ_sài , cấn móp",0,-1,-1,0,0,0,0,0,0
17,33448,"tiki giao hàng , điện_thoại đẹp kì hài_lòng",0,0,1,0,0,0,0,0,1
19,33446,giá hợp_lý kì hài_lòng,1,0,0,0,0,0,0,0,0
21,33444,"giá cứng_cáp , ok . nâng , không tháo lắp chăn phú hợp chiều , minh dung lap 12inch , khung chút , lap lớn hơi dư . chiều ngang cỡ 23cm , bà_con_tính thử",0,0,0,0,0,0,0,1,0
22,33443,hàng đẹp . chất_lượng tốt . giao . đồng_tiền lắm . chất rẻ . thanhk shop kì hài_lòng,1,0,1,0,0,0,0,0,1
23,33442,"giao hàng , sản_phẩm như miêu_tả kì hài_lòng",0,0,1,0,0,0,0,0,0
24,33441,"gọi video call , góc_quay rộng . giá đỡ gọn_nhẹ , , đòn . hài_lòng . đỡ gọn_nhẹ ,",0,0,0,0,0,0,0,1,0
25,33440,"giao , shipper hộp kiểm_tra kì hài_lòng",0,0,1,0,0,0,0,0,0
26,33439,"máy ổn_định , pin trâu kì hài_lòng",0,0,0,0,0,1,0,0,0
27,33438,"điện_thoại tốt , bắt sóng không mạnh",0,0,0,0,0,0,0,1,0
29,33343,giá rẻ ! cấu_hình ! tiếc cam chụp mờ ! hài_lòng,1,0,0,0,0,-1,0,0,0
30,33342,"hàng nguyên seal , đóng_gói cẩn_thận , ninja van giao hàng cực gửi thông_tin giao hàng không chính_xác dịch_vụ giao hàng tệ",0,0,-1,0,0,0,0,0,1
31,33341,"chất_lượng sản_phẩm đúng như giới_thiệu , đúng hàng hãng nguyên seal . kì hài_lòng",0,0,0,0,1,0,0,0,0
32,33340,"đóng_gói cẩn_thận , điện_thoại đẹp . chất_lượng test . kì hài_lòng",0,0,1,0,0,0,0,0,1
33,33339,"đế cứng_cáp , . giao hàng hạn . trước_mắt chưa . kì hài_lòng",0,0,1,0,0,0,1,0,0
34,33338,"thiết_kế , cứng_cáp . tiền . kì hài_lòng",0,0,0,0,0,0,0,1,0
35,33337,"sản_phẩm loa hơi , rè",0,0,0,0,0,-1,0,0,0
36,33336,"mua điện_thoại camera tối iphone 6 + , điện_thoại lỗi wifi báo kết_nối_mạng kém không chạy live nổi ? hàng đổi_mới bảo_hành như ? không hài_lòng",0,0,0,-1,0,-1,0,0,0
37,33335,đế kẹp 2in1 điện_thoại máy_tính bảng tablet ipad gắn chân máy_ảnh tripod kì hài_lòng,0,0,0,1,0,0,0,1,0
38,33334,"máy pin trâu , tác vụ ok . chụp ảnh tạm ổn . mua . kích_hoạt bảo_hành 3 kì hài_lòng",0,0,0,1,0,1,0,0,0
39,33333,"mua cuộc_gọi đều không bấm phím gọi phím tắt , chất_lượng kém hả tiki ? hài_lòng",0,0,0,-1,0,0,0,0,0
40,33332,"giao hàng , sản_phẩm_chất_lượng , giá_cả kì hài_lòng",1,0,1,0,0,0,0,0,0
