,id,cmt,giá,dịch_vụ,ship,hiệu_năng,chính_hãng,cấu_hình,phụ_kiện,other,mẫu_mã
0,18727,"sản_phẩm tốt , đẹp keng , tiếc không android 9 không sim , chủ shop nhiệt_tình .",0,1,0,0,0,0,0,0,1
1,18726,máy máy đẹp lắm tốt chưa shop trả_lời nhiệt_tình shop,0,1,0,0,0,0,0,0,1
2,18725,"máy đẹp , hàng đúng chuẩn , shop uy_tín giao hàng chất_lượng đúng như quảng_bá , giá_cả hợp_lý , máy đẹp , ứng_dụng chạy ổn_định , chức_năng cơ_bản hoạt_động tốt , màn_hình cảm_ứng nhạy , , màu_sắc rực_rỡ , hài_lòng vừa_ý , ủng_hộ shop đơn hàng ,",1,0,1,1,0,1,0,0,1
3,18724,"shop uy_tín . máy lỗi khay sim , shop đổi máy .",0,1,0,0,0,0,0,0,0
4,18723,trừ 1 báo số_liệu pin chưa chính_xác nha . shop tư_vấn nhiệt_tình,0,1,0,0,0,0,0,0,0
5,18722,"máy tầm 90 % ngoại_hình , áp oke ! máy đẹp ! thử tạm ổn ! tặng shop 5",0,0,0,0,0,0,0,0,1
6,18721,"shop dễ_thương uy_tín , hàng chất_lượng chuẩn test đúng hàng hãng chi tự_tin mua hàng shop , 5 *",0,1,0,0,1,0,0,0,0
7,18720,", sản_phẩm shopee , chất_lượng máy tốt , hình_thức đẹp , chức_năng hoạt_động ổn_định , màn_hình màu_sắc rực_rỡ như mong_đợi , tiên mua hàng shope đồng_tiền bát gạo , giới_thiệu shope bạn_bè người_thân ủng_hộ , 👍",1,0,0,1,0,1,0,0,1
8,18719,"màn xước , góc_cạnh móp , ipad 4 không đòi_hỏi : )",0,0,0,0,0,-1,0,0,-1
9,18718,"hàng đẹp , đóng_gói cẩn_thận , cài đủ ứng_dụng . shop phục_vụ nhiệt_tình thắc_mắc . tin_cậy . ủng_hộ shop tiếp",0,1,1,0,0,0,0,0,1
10,18717,đóng_gói cẩn_thận thử,0,0,1,0,0,0,0,0,0
12,18715,"máy đẹp , ngon . chức_năng hoạt_động ổn_định , shop giao hàng nhân_viên tư_vấn nhiệt_tình , an_tâm sản_phẩm shop",0,1,1,1,0,0,0,0,1
13,18714,"đóng_gói sản_phẩm đẹp . điện_thoại đẹp , cảm_nhận ban_đầu máy nóng , tạm ổn . giá tốt .",1,0,1,-1,0,0,0,0,1
14,18713,"máy ful box đầy_đủ phụ_kiện như shop mô_tả . chất_lượng máy tốt . cấu_hình mạnh , game lướt web mượt . hài_lòng shop phục_vụ nhiệt_tình_nhân_viên vui_vẻ chuyên_nghiệp , giới_thiệu bạn_bè người_thân ủng_hộ shop .",0,1,0,1,0,1,1,0,1
15,18712,"hàng đẹp , đóng_gói cẩn_thận",0,0,1,0,0,0,0,0,1
16,18711,"tạm ổn , màn_hình dăm , máy 95 96 %",0,0,0,0,0,-1,0,0,0
18,18709,"sản_phẩm_chất_lượng giá_thành , đổi , tư_vấn nhiệt_tình , chế_độ hậu_mãi tốt , mua sản_phẩm shop",0,1,0,0,0,0,0,0,0
19,18708,"shop giao hàng uy_tín , chất_lượng sản_phẩm đúng như quảng_cáo , test máy chức_năng cơ_bản ổn , màn_hình cảm_ứng mượt , mạng game lướt web êm_ái , đều như mong_đợi , giá_cả hợp_lý , shop hài_lòng lắm , giới_thiệu shop bạn_bè người_thân ủng_hộ",1,1,0,1,0,0,0,0,0
20,18707,"shop đóng_gói cẩn_thận , hàng chất_lượng uy_tín , đầy_đủ phụ_kiện",0,0,1,0,0,0,1,0,0
21,18706,"máy chuẩn nha anh_em . shop giao hàng ok . đúng hẹn , chất_lượng máy tốt , ngoại_hình đẹp , cấu_hình ổn_định , chức_năng chạy mượt , màn_hình cảm_ứng nhạy , màu_sắc_đẹp như mong đợ . chiến game sướng , pin trâu . hài_lòng đánh 10 chất_lượng phục_vụ",0,1,1,1,1,1,0,0,0
22,18705,"shop nhiệt_tình , hàng tốt giá rẻ , phục_vụ chu_đáo ... . mua",1,1,0,0,0,0,0,0,0
23,18704,"cửa_hàng tiếp_nhận đơn giao hàng , đóng_gói đẹp & đảm_bảo . chất_lượng sản_phẩm tùy nsx , quan_điểm ủng_hộ vsmart , hàng chất giá tốt .",0,0,1,0,0,0,0,0,0
25,18702,sản_phẩm_chất_lượng . giao hàng .,0,0,1,0,0,0,0,0,0
27,18700,không chê shop phục_vụ tốt đóng_gói chống sốc dày shop mua ủng_hộ shop 100 % hãng đầy_đủ phù_kiện shop 10,0,1,1,0,1,0,1,0,0
28,18699,sản ok . . k chê tks shop không tặng kính cường bùn xíu,0,0,0,0,0,0,0,1,0
29,18698,chất_lượng sản_phẩm giá tiền không đòi_hỏi v,1,0,0,0,0,0,0,0,0
30,18697,không mua hàng shop . mua máy sạc 20 phút sập . liên_hệ shop im_re không thèm rep . trừ khách_hàng hoàn hàng khiếu_nại không đổi . trừ mô_tả ghi hoàn_trả 30 .,0,0,0,0,0,0,0,1,0
31,18696,"tốt . hàng hãng , nguyên seal .",0,0,0,0,1,0,0,0,0
32,18695,"9 trải nghiệm . xz1 màu xanh , au , hộp đầy_đủ máy , sạc , dây sạc , tai_nghe , ốp dẻo , phiếu hướng_dẫn . hình_thức như ảnh shop chụp . tính_năng ok , , mạnh ( mi 5x ) . hài_lòng . pin , màn vệt . ổn tầm tiền .",0,0,0,1,0,-1,1,0,0
36,18691,sản_phẩm hãng ngon_lành cành đào,0,0,0,0,1,0,0,0,0
39,18688,"giao sản_phẩm mô_tả . quản_cáo đt giao điện_thoại cũ , trầy camera , xước màn_hình , khóa màn_hình , . dòng . nhắn_tin shop không phản_hồi .",0,-1,0,0,0,-1,0,0,-1
40,18687,"sản_phẩm ok , đóng_gói kỹ giao hàng , ủng_hộ shop tiếp",0,0,1,0,0,0,0,0,0
42,18685,máy đẹp nguyên niêm_phong chạy mượt lắm shop 5,0,0,0,1,1,0,0,0,1
43,18684,"hôm_nay ipad 4 . hàng_y hình 97 % móp góc chút_xíu , xước nhẹ 1đường máy , ok như , pin 3ngày pin . . phần_mềm trước_mắt ok . ok mua 1máy . đăng quảng_cáo dùm shop . 5 * tư_vấn nhiệt_tình .",0,1,0,0,0,1,0,0,-1
46,18681,4 loa nghe tuyệt_vời,0,0,0,0,0,1,0,0,0
47,18680,"đóng_gói sản_phẩm cẩn_thận , sản_phẩm đúng mô_tả , chất_lượng sản_phẩm tuyệt_vời , điện_thoại không kèm tai_nghe",0,0,1,0,0,0,-1,0,0
48,18679,"shop uy_tín giao hàng đúng chất_lượng , test chức_năng ổn , nghe gọi ok , ứng_dụng hoạt_động tốt , màn_hình đẹp , màu_sắc rực_rỡ , như mong_đợi , vừa_ý hài_lòng , giới_thiệu bạn_bè người_thân ủng_hộ an_tâm sản_phẩm shop , ri",0,0,1,1,0,1,0,0,0
49,18678,hàng shop tư_vấn nhiệt_tình hàng hãng nguyên niêm_phong,0,1,0,0,1,0,0,0,0
50,18677,máy shop,0,0,0,0,0,0,0,1,0
52,18675,"ok lắm . giao hàng , máy tốt . . chức_năng hoạt_động ổn . shop nhiệt_tình . điện_thoại như shop quảng_cáo , hài_lòng . chúc shop nhìu .",0,1,1,1,0,0,0,0,0
53,18674,"đẹp shop , hàng đúng hãng , chức_năng hoạt_động tốt , màn_hình cảm_ứng nhạy , màu_sắc rực_rỡ , camera chụp ảnh đẹp , hoàn_hảo lắm , shop giao hàng chất_lượng đúng như quảng_cáo , an_tâm sản_phẩm shop ,",0,0,0,1,1,1,0,0,1
54,18673,máy đẹp . mua shop,0,0,0,0,0,0,0,0,1
55,18672,"hài_lòng sản_phẩm shop , máy đẹp , hoạt_động ổn_định , cấu_hình mạnh , màn_hình cảm_ứng nhạy màu_sắc rực_rỡ như mong_đợi , shop giao hàng đúng hẹn , chất_lượng đúng như quảng_bá , đồng_tiền , shop",1,0,1,1,0,1,0,0,1
56,18671,"hoàn_thiện , sản_phẩm đẹp màu_sắc rực_rỡ , cấu_hình mạnh_mẽ , chức_năng cơ_bản hoạt_động tốt ổn_định , màn_hình đẹp âm_thanh , cảm_ứng lướt êm nhạy , sản_phẩm hoàn_hảo , shop giao hàng đúng như quảng_cáo , hài_lòng vừa_ý ,",0,0,0,1,0,1,0,0,1
57,18670,"máy ok , chút shop tư_vấn nhiệt_tình , ủng_hộ shop dài_dài : 3",0,1,0,0,0,0,0,0,0
58,18669,"điện_thoại nguyên hộp , mượt . shop rep hơi không",0,0,0,1,0,0,0,0,1
63,18664,mua giao kèo kỹ_càng hàng màn_hình nứt nhoe ko shop giao hàng ! báo shop chưa liên_lạc !,0,0,0,0,0,0,0,1,0
64,18663,"sản_phẩm tốt nha , mua không tiếc chút .",0,0,0,0,0,0,0,1,0
66,18661,"tuyệt , chất_lượng tốt , đúng như shop quảng_bá , hoàn_thiện chi_tiết , shop uy_tín , giao hàng đúng hẹn sản_phẩm đẹp không chê , hài_lòng lắm , giới_thiệu bạn_bè người_thân ủng_hộ shop ,",0,1,1,0,0,0,0,0,1
67,18660,"chất_lượng sản_phẩm tốt , ủng_hộ shop , meme ♥",0,0,0,0,0,0,0,1,0
68,18659,"tuyệt , chất_lượng tốt , đúng như shop quảng_bá , hoàn_thiện chi_tiết , shop uy_tín , giao hàng đúng hẹn sản_phẩm đẹp không chê , hài_lòng lắm , giới_thiệu bạn_bè người_thân ủng_hộ shop ,",0,0,1,0,0,0,0,0,1
70,18657,"shop uy_tín , giao hàng đúng hẹn , máy chất_lượng đúng quảng_cáo , phong_cách làm_việc chuyên_nghiệp , máy đẹp , chức_năng chạy mạnh , màu_sắc màn_hình , hài_lòng , ủng_hộ shop , một",0,1,1,1,0,1,0,0,1
