,id,text,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5
0,24921,2 quà khuyến_mãi món . đầu xe 3 bánh bọ sắt gắn 2 bánh_xe . lèo xếp bệnh_viện ghi 60 món hét mấy miếng to . quà khuyến_mãi như đánh_đố . không tâm quà,0,-1,0,0,0,0
3,24918,gói bỉm cũ bạc_màu loại mẫu_mã . gói bỉm rách . không hài_lòng,0,0,-1,-1,0,0
5,24916,sai cung duoc,0,0,0,0,0,0
6,24915,giao hàng dự_kiến . hàng tốt . hãng . cám_ơn tiki kì hài_lòng,0,0,0,1,1,1
7,24914,size m nhung hơi phút mua 1 kích_thước .,0,0,0,0,0,0
8,24913,"sữa uống tốt , chiều cân . tiêu_hoá bé tốt kì hài_lòng",0,0,0,1,0,0
9,24912,"giao hàng , đúng loại như hình ( đc tặng 8m loại ) kích_thước s cân 4 - 8 kg , bé 5,5 kg mặc rộng , đai dán mềm_mại , dính tốt . không như loại bobby soft màu vàng , kích_thước bé , đai dán cứng chật bé hằn , chẳng "" soft "" chỗ , mặc_dù mua 2 loại kích_thước s. tốt giá mềm",0,0,0,1,1,0
10,24911,"mua 2 r , bé êm , cáo dễ_thương kì hài_lòng",0,1,0,1,0,0
12,24909,sản_phẩm tốt kì hài_lòng,0,0,0,0,0,0
13,24908,"bé 8 kí mặc vô lằn đỏ hai hông , bỉm nhỏ_bé mặc không thoải_mái hài_lòng",0,0,0,-1,0,0
14,24907,ok tầm giá kì hài_lòng,0,0,0,0,0,0
17,24904,hài_lòng 🤪 kì hài_lòng,0,0,0,0,0,0
19,24902,"đóng_gói cẩn_thận , hàng tốt ! kì hài_lòng",0,0,0,1,1,0
21,24900,"tã mỏng tã mua , mùi thơm hơi tã mua không mùi , cảm_giác tã mua an_toàn dễ_chịu tã tiki .",0,0,0,-1,0,0
22,24899,"bé tã bobby , thun co_giãn tốt , chống hăm . tiki giảm_giá quà . gói tiki now giao hàng cực_kỳ . ! phẩm tốt , quà đẹp , giá tốt",1,1,1,1,1,0
25,24896,"sp tốt mua tiki , ủng_hộ tiki kì hài_lòng",0,0,0,1,0,0
26,24895,tiki đóng_gói gọn combo 3 gói ; giá hài_lòng kì hài_lòng,1,0,0,0,1,0
27,24894,"huggies chẳng lăng đi mẫu tã . tã huggie mẫu thiết_kế lưng thun 4 chiều cực . bé không bì hằn đỏ , mềm_mại ôm sát bụng . giúp bé thỏa_mái vận_động không sợ đau rát tràn . đùi êm nha , 5 * đệm mây ! vận_chuyển , thanks hài_lòng",0,0,0,1,1,0
29,24892,"mua bé , giá_cả , đóng_gói cẩn_thận , giao hàng ,",1,0,0,0,1,0
30,24891,"bỉm thấm hút kém . tràn . mặc loại bỉm không . mặc bỉm bobby y_như ràng tràn dính quần , mặc_dù bỉm chưa vần tràn . mặc ị tràn r . bực . tiếc tiền kinh_khủng . không hài_lòng",0,0,0,-1,0,0
31,24890,sữa dịu . mùi thơm . bé uống . tiêu_hóa . tiki giá rẻ coupon giảm_giá . ! tiki,1,1,0,1,0,0
32,24889,"sản_phẩm tốt , hài_lòng . mua 2 kì hài_lòng",0,0,0,0,0,0
35,24886,chất_lượng oke kì hài_lòng,0,0,0,1,0,0
36,24885,đóng_gói kĩ hàng chất_lượng uy_tín như kì hài_lòng,0,0,0,1,1,1
38,24883,"sản_phẩm tốt , thấm hút tốt , gọn_nhẹ chất_lượng vời",0,0,0,1,0,0
39,24882,sp êm kì hài_lòng,0,0,0,1,0,0
41,24880,hàng kém chất_lượng thất_vọng không hài_lòng,0,0,0,-1,0,0
42,24879,"giao hàng gói sản_phẩm cẩn_thận , tã dán nb huggies mềm . bé sơ_sinh oke kì hài_lòng",0,0,0,1,1,0
46,24875,mua combo 3 bịch bỉm đại . tiki giao hàng hôm tặng kèm đồ_chơi tàu_hỏa gỗ hàng không . kì hài_lòng,0,-1,0,0,1,0
47,24874,"bỉm thấm hút tốt , bỉm quần bé lằn , tã dán oke",0,0,0,-1,0,0
49,24872,"bé chủ_yếu không mùi tã , hơi nồng",0,0,0,-1,0,0
50,24871,giao dự_kiến .,0,0,0,0,1,0
51,24870,mua 3 bịch bỉm thanh_toán đủ tiền quà đủ bỉm giao 1 bịch gọi điện_thoại tổng_đài đợi 1 bịch bỉm,0,1,0,0,-1,0
52,24869,giao hàng cực . đóng_gói . good ! kì hài_lòng,0,0,0,0,1,0
53,24868,bữa_nay shop đóng_gói xấu . không hài_lòng,0,0,0,0,-1,0
54,24867,"bỉm thoáng , mỏng , cảm_giác bé mặc dễ_chịu , tè ít khô_ráo . bỉm mỏng không bé tè đêm , dậy 1 bỉm bõng bõng ( không tràn ) . bé 9kg , bắp_đùi to mặc kích_thước xl",0,0,0,1,0,0
55,24866,toàn mua combo 2 cháu giá cạnh_tranh cộng đóng_gói vận_chuyển tiki tốt vô_cùng . kì hài_lòng,1,0,0,0,1,0
56,24865,giao hàng quà tặng đẹp chất_lượng sữa chưa thử không kì hài_lòng,0,1,0,0,1,0
58,24863,"hàng_y hình , , ủng_hộ . shop tiki ❤ ️ kì hài_lòng",0,0,0,0,0,1
59,24862,"sản_phẩm tiện_lợi , mẫu_mã bắt_mắt , . quần bé",0,0,0,1,0,0
61,24860,"sản phầm 5 , phục_vụ tiki 2 đơn hàng giao 2h - - -> giao hàng chuẩn như cam_kết chưa ổn : trừ 2 hang giao , đăc hàng giao bụi bẩn , 3 lon enfa móp méo 2 lon nắp bụi trừ hai chương_trình khuyến_mại : mua 1 lon tặng gối , 3 lon tặng bàn học ( tiki ghi quà ... ) chưa hợp_lý quà không tiki cài hệ_thống báo khách_hàng thông_báo kiểu không lầm . định 1 lon cố 3 lon chương_trình hàng hơi thất_vọng trình khuyến_mại không rõ_ràng",0,-1,0,-1,-1,0
62,24859,"giao hàng chậm ( 1 tuần ) bỉm kích_thước , bé 9kg xl i , mom cân_nhắc kích_thước bé ko vạch báo tả tràn , bỉm mỏng đồ_chơi_đẹp ,",0,1,0,-1,-1,0
63,24858,mua tặng kèm hộp thủy_tinh không . chán hài_lòng,0,-1,0,0,0,0
65,24856,"bỉm hạn , đóng_gói cẩn_thận , kích_thước l trẻ 9kg 14kg , bé 10.5 kg mặc_cảm_giác chật ( bobby l mặc thoải_mái ) . bobby mùi hương dễ_chịu vốn cục 2 đều không tràn . ý_kiến tả bobby chất_lượng . xét sản_phẩm bobby",0,0,1,-1,1,0
66,24855,tã quần_bobby gói cực_đại l54 tốt sạch_sẽ thoáng mát bé . quần_bobby gói cực_đại_l54,0,0,1,1,0,0
67,24854,giao hàng mỏng loại cũ . mua 445k giá_cả hợp_lý kì hài_lòng,1,0,0,1,1,0
68,24853,mua . ủng_hộ kì hài_lòng,0,0,0,0,0,0
69,24852,"giá 50 % , mua nhìu bé dần , hạn hơi cũ bao_bì , sản_phẩm tốt , ủng_hộ kì hài_lòng",1,0,-1,1,0,0
70,24851,oke lam shop kì hài_lòng,0,0,0,0,0,0
71,24850,thấm hút tốt kì hài_lòng,0,0,0,1,0,0
72,24849,"tã ok , giá mềm . kích_thước to hãng . kì hài_lòng",1,0,0,1,0,0
73,24848,"hàng giao đúng hạn như thông_báo , bao_bì đóng_gói ok kì hài_lòng",0,0,0,1,1,0
75,24846,bình không nhiệt,0,0,0,0,0,0
76,24845,"bỉm thấm hút tốt , giao hàng , đóng_gói cẩn_thận . kì hài_lòng",0,0,0,1,1,0
77,24844,"tiki giao hàng , nhân_viên nhiệt_tình vui_vẻ , hàng tốt , ủng_hộ !",0,0,0,1,1,0
79,24842,"hàng hãng . đợt mua tặng kèm 6 miếng túi giá mềm giá nguyên . hài_lòng . mua giao hàng , tối cn trưa t2 giao . kì hài_lòng",1,0,0,0,1,1
80,24841,giao hàng nhanh_chóng đóng_gói cẩn_thận,0,0,0,0,1,0
83,24838,sản_phẩm tốt giao hàng nhiệt_tình kì hài_lòng,0,0,0,1,1,0
84,24837,giá sale tốt kì hài_lòng,1,0,0,0,0,0
86,24835,sản_phẩm tuyệt_vời ! kì hài_lòng,0,0,0,0,0,0
88,24833,"giá hơi , mã giảm_giá tốt , giá hơi , mã giảm_giá tốt hơi , mã giảm_giá tốt",-1,0,0,0,0,0
89,24832,rẻ giá chợ ! hàng ủng_hộ 👍,1,0,0,0,1,0
92,24829,hài_lòng sản_phẩm . kì hài_lòng,0,0,0,0,0,0
93,24828,giao hàng sản_phẩm oke kì hài_lòng,0,0,0,1,1,0
94,24827,bỉm y hình . tiki giao hàng kì hài_lòng,0,0,0,0,1,1
97,24824,"mua shop 3 cực_kì thất_vọng gói hàng . không hề hộp đơn_giản xốp sốc , quấn nilong xung_quanh , m hộp sữa móp méo .",0,0,0,-1,-1,0
98,24823,"hàng hãng , giá mềm , sữa tốt tốt uống , ủng_hộ tiki tốt 5",1,0,0,1,0,1
99,24822,"hài_lòng , sản_phẩm hàng tặng kèm đúng như hình . kì hài_lòng",0,1,0,0,0,1
102,24819,"sữa thơm uống , bé uống đầu mua hộp 40 gam , bé hợp_tác vui mua bé uống , sữa care 100 + giới_thiệu kì hài_lòng",0,0,0,1,0,0
103,24818,hàng hãng kì hài_lòng,0,0,0,0,0,1
104,24817,"giao hàng , shop đóng_gói đẹp nha . shipper thân_thiện kì hài_lòng",0,0,0,0,1,0
105,24816,tràn vón cục không hài_lòng,0,0,0,-1,0,0
107,24814,"hàng hạn , giá tốt , giao hàng . nhân_viên nhiệt_tình . kì hài_lòng",1,0,1,0,1,0
110,24811,tã xịn loại đóng đêm không tràn không thít bụng . tin_dùng pamper kì hài_lòng,0,0,0,1,0,0
111,24810,y mô_tả kì hài_lòng,0,0,0,0,0,1
112,24809,"sản_phẩm kích_thước lớn , đệm lưng mềm_mại bé . size tả đúng tiêu_chuẩn kì hài_lòng",0,0,0,1,0,0
115,24806,giao hàng tốt kì hài_lòng,1,0,0,0,1,0
116,24805,sản_phẩm hợp giá tiền chất_liệu oke ủng_hộ tiki tiếp,1,0,0,1,0,0
117,24804,"ít mùi chun bỉm mềm không hằn da bé , bé thoải_mái 😂 kì hài_lòng",0,0,0,1,0,0
118,24803,giao hàng ! kì hài_lòng,0,0,0,0,1,0
119,24802,"ổn , vận_chuyển , mong shop phát_huy .",0,0,0,0,1,0
121,24800,". sản_phẩm tốt , ủng_hộ kì hài_lòng",0,0,0,1,0,0
122,24799,"ghi bao_bì , bỉm bẩn cũ , sản_xuất mua hàng tiki thất_vọng , mấy đơn không huỷ buồn không hài_lòng",0,-1,-1,0,0,0
123,24798,tả mỏng thấm hút tốt kì hài_lòng,0,0,0,1,0,0
124,24797,"giao hàng , đóng_gói cẩn_thận kì hài_lòng",0,0,0,0,1,0
125,24796,"tiki giao hàng đúng hẹn , sản_phẩm đảm_bảo . bé ưng phẩm tốt !",0,0,0,1,1,0
129,24792,tả mềm nhẹ mỏng . lưng hơi ít thun bé lớn chút . mặc kì hài_lòng,0,0,0,1,0,0
131,24790,hàng giao nhân_viên giao hàng kẹp hàng háng khó_chịu . hài_lòng,0,0,0,0,-1,0
132,24789,hạn . mua hàng tiki hài_lòng . sản_phẩm_chất_lượng . mua huggies tiki dài_dài chất_lượng .,0,0,1,1,0,0
134,24787,"đầu , tè 1 bỉm chảy xệ .",0,0,0,-1,0,0
136,24785,sản_phẩm_chất_lượng .,0,0,0,1,0,0
137,24784,"sản_phẩm tốt , đóng_gói cẩn_thận , không móp vận_chuyển kì hài_lòng",0,0,0,1,1,0
139,24782,"lừa_đảo , đặt_hàng hiển_thị quà tặng kèm . hàng không quà tặng . gọi điện khiếu_nại bảo chụp màn_hình làm_chứng . hài_lòng",0,-1,0,0,0,0
140,24781,"tạm , màu_sắc oke ,",0,0,0,0,0,0
141,24780,"giao hàng , đóng_gói cẩn_thận . tả bobby loại lưng hút mồ_hôi thoáng bé vận_động thoải_mái . kì hài_lòng",0,0,0,1,1,0
142,24779,"giao hàng nhanh_chóng_mặt , sản_phẩm tốt . kì hài_lòng",0,0,0,1,1,0
